BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),assembly
12.5,1019.3,557,800,1,0.0102454,0.00828956,0.00195579,0.00519429,0.23725,0.0170691,1.40499,1
12.5,1019.3,557,800,2,0.0943158,0.0471519,0.0471639,0.123955,0.938803,0.00183472,0.355062,1
15,1019.3,557,800,1,0.010424,0.00852225,0.00190179,0.00508034,0.237182,0.0169893,1.40539,1
15,1019.3,557,800,2,0.094865,0.0484239,0.046441,0.12314,0.940789,0.00183896,0.354312,1
17.5,1019.3,557,800,1,0.0105876,0.00873706,0.00185049,0.00497078,0.237115,0.0169215,1.40579,1
17.5,1019.3,557,800,2,0.0951625,0.0495364,0.0456262,0.121952,0.942432,0.00183869,0.353695,1
20,1019.3,557,800,1,0.0107365,0.00893459,0.00180192,0.00486589,0.237047,0.0168645,1.40619,1
20,1019.3,557,800,2,0.0952574,0.0505086,0.0447488,0.120483,0.943783,0.00183489,0.353188,1
22.5,1019.3,557,800,1,0.0108749,0.00911822,0.00175669,0.00476744,0.236977,0.016815,1.40661,1
22.5,1019.3,557,800,2,0.0952026,0.0513648,0.0438378,0.118824,0.944905,0.00182854,0.352769,1
25,1019.3,557,800,1,0.0110047,0.00929006,0.00171466,0.00467526,0.236904,0.0167712,1.40704,1
25,1019.3,557,800,2,0.0950411,0.0521246,0.0429165,0.117048,0.945841,0.0018204,0.35242,1
27.5,1019.3,557,800,1,0.0111276,0.00945158,0.00167602,0.00458997,0.236828,0.0167312,1.40749,1
27.5,1019.3,557,800,2,0.0948076,0.0528038,0.0420037,0.115215,0.946624,0.00181113,0.352128,1
30,1019.3,557,800,1,0.011244,0.00960366,0.00164031,0.00451064,0.236748,0.0166946,1.40796,1
30,1019.3,557,800,2,0.09453,0.0534152,0.0411148,0.113376,0.947282,0.00180123,0.351884,1
32.5,1019.3,557,800,1,0.0113537,0.0097465,0.00160721,0.00443665,0.236664,0.0166611,1.40846,1
32.5,1019.3,557,800,2,0.0942313,0.0539692,0.0402621,0.11157,0.947834,0.00179114,0.351679,1
35,1019.3,557,800,1,0.0114563,0.0098794,0.00157685,0.00436848,0.236575,0.0166306,1.409,1
35,1019.3,557,800,2,0.0939296,0.0544743,0.0394553,0.109831,0.948296,0.0017812,0.351508,1
0,1019.3,557,1000,1,0.00916601,0.00686847,0.00229754,0.00589097,0.237573,0.0175907,1.40307,1
0,1019.3,557,1000,2,0.0808161,0.034336,0.0464801,0.113258,0.915597,0.00161797,0.364061,1
0.1,1019.3,557,1000,1,0.00919876,0.00690188,0.00229688,0.0058896,0.237856,0.0177041,1.40141,1
